,valence,energy,tempo,acousticness,loudness,id
189,0.895,0.607,127.488,0.139,-8.473,2EuyCCWC1aJlQKjcIANOUN
190,0.864,0.834,99.598,0.0819,-5.204,7nqaTpqP0qmnWeL8bNmipi
191,0.884,0.597,150.26,0.0806,-10.297,7DnSOl5CtzTNfOVQVEwHls
192,0.394,0.334,113.808,0.791,-8.235,76d5nJBO0NWjjTSEiT58jB
193,0.72,0.701,75.449,0.312,-10.714,5QOUs8Y7utwYH7kfRkio7h
194,0.332,0.389,122.851,0.599,-12.838,5y795LhHS6WYkcDOPBVSoB
195,0.664,0.253,78.544,0.933,-14.027,64tHCLz5JpnRhKkmEAKN78
196,0.437,0.39,104.072,0.56,-9.845,5S5JYAc31hYzQMdYVORsLX
197,0.661,0.34,132.621,0.469,-16.805,4GGu9ssC5stXQPDsXc9NSJ
198,0.788,0.413,121.125,0.0337,-8.234,3ES1OsBlHwGiHdyKN04DcN
199,0.387,0.47,113.541,0.689,-8.013,7rugniMIdqEL8zZEjWEPx6
200,0.748,0.393,112.179,0.855,-10.732,7t1OO7jWg6MuQBSU2n2q6W
201,0.929,0.812,105.835,0.578,-8.204,2Fl6abdXZEaKx5C6zEwvUk
202,0.663,0.41,122.419,0.316,-13.011,03xqKkIVYcDk4PQACbWDdo
203,0.703,0.456,98.855,0.756,-11.011,2SEpfEqxeuACELl94pZSCB
204,0.495,0.292,89.283,0.805,-16.228,1YT3zxiL50fycaR7DsDwmr
205,0.961,0.585,98.049,0.53,-9.674,7wZWGAsDH27PjHvoOUvWXI
206,0.491,0.684,126.828,0.0654,-8.251,6UfXkk6W9NlhEFBRaTxB3j
207,0.877,0.709,135.511,0.265,-9.87,78WAUYG6MhoZxSARsK7mXy
208,0.282,0.314,96.682,0.748,-12.086,2GT0m2rWbW9S8A8zAte9mA
209,0.416,0.245,128.341,0.948,-13.872,5Qkdbjd2W4R1bDifdSqfw5
210,0.204,0.235,79.186,0.789,-13.357,5DPwaHUm2PFeeAPMq7bQlZ
211,0.575,0.391,104.797,0.897,-7.234,4FpjgDZx1duxOU9DM2nPnw
212,0.332,0.432,99.707,0.755,-10.125,21hXiFWZSLAsJUoolYGV1y
213,0.317,0.417,122.814,0.374,-11.525,1K2KW8c3JKoJdEwNxWjjmi
214,0.457,0.334,70.66,0.227,-11.141,1SLmCvl415HMHJXqFpUjQa
215,0.801,0.848,131.558,0.717,-6.571,52fvvav4fVp7o6mL9SxuGF
216,0.559,0.36,100.436,0.25,-11.118,0d0fbLdm4bxWsmga3kFA7a
217,0.692,0.717,120.097,0.293,-7.278,13KQXVM9bIPBwG4sVMTvP9
218,0.86,0.729,126.582,0.266,-8.646,5tMdozSo7PxEauLDeegHEg
219,0.778,0.506,91.896,0.791,-10.54,4oHcMcbUjbPK7zKyx4dQln
220,0.855,0.552,155.83,0.662,-9.091,5zpg54FaDA8YuXGOBsW5JM
221,0.902,0.74,129.261,0.0706,-8.418,341wVnPEICj8Ot4lHMdybU
222,0.487,0.41,104.114,0.261,-9.521,66ark8uqwtus4LkRSTn8UG
223,0.266,0.226,125.661,0.935,-8.54,3gS5WDKTV0DYLKozh9NuRQ
224,0.746,0.805,147.102,0.453,-10.317,5w3QTiXpg2uqGMx283pZtG
225,0.619,0.696,110.528,0.209,-9.095,4zgwcLHZNP9soysqD9PNlt
226,0.965,0.385,140.923,0.842,-12.874,2eFTEkvuCiR0KsgUbo9WqM
227,0.771,0.654,135.911,0.495,-7.919,2O6rBmrnIjUr8CttVTZf3T
228,0.789,0.655,147.541,0.534,-6.846,0nJa4M6SYw25iXkPrr5aMp
229,0.888,0.594,118.342,0.809,-9.751,7xx2SrLgGrHfrawo6T1Y0g
230,0.83,0.827,158.473,0.827,-8.736,1TY8ikLk6PkbZp02x3AuzW
231,0.374,0.317,115.071,0.92,-13.606,0DuYGLoIeX8dXR3SLzyx2f
232,0.188,0.0505,105.345,0.911,-24.623,3qwK66prhlovqNtdzCVv9x
233,0.546,0.361,175.657,0.365,-10.464,75sJMuYaqm7HCrMQF1qXvb
234,0.969,0.695,118.618,0.411,-8.176,2JJiXfgW8PCsv0mp8r6Vb2
235,0.754,0.657,112.277,0.299,-7.023,55xaWn6fLnyqCgcXiFivzH
236,0.856,0.721,80.008,0.202,-8.389,1pIHu3wGjuMk7QNw62kl8s
237,0.441,0.936,171.147,0.234,-7.387,1346XpPwnJy3MuOMnVJeMG
238,0.968,0.643,95.501,0.282,-8.835,4kCskOtTBPbJS4ndXqsWBc
239,0.433,0.427,112.464,0.778,-13.509,28E0zP3DXUSsDdWkvJCpi4
240,0.577,0.803,150.896,0.521,-5.78,3wwIwGRKe7IQHEj6LLZpQB
241,0.462,0.249,96.307,0.366,-14.824,6r1lfSSawF0azUjFiFA51l
242,0.927,0.53,136.142,0.578,-9.747,5axOqa8p4O1OD6eCu4RJzd
243,0.609,0.248,130.457,0.558,-13.407,63ad8aVVsWieYeG7oqW4Kb
244,0.599,0.452,109.127,0.463,-11.564,1HkEcKZgwPKcYSCM1llppS
245,0.817,0.875,132.535,0.131,-6.782,34xFcN425STVuIoHDs7CFQ
246,0.535,0.341,116.276,0.79,-12.434,2TbXESzuF2tRsG4DrQJVvF
247,0.41,0.372,92.034,0.422,-10.917,5WSCfrDiPOZNGYsH8Rldvm
248,0.456,0.13,137.566,0.724,-20.558,2WA9WuLFGcJrJEgZwLhFWm
249,0.588,0.307,128.886,0.782,-17.639,6gUzHiec3CQJXciZVPiyFC
250,0.345,0.465,101.845,0.365,-9.236,5fhqvJhmsdJGFOsEtnBuaX
251,0.563,0.724,108.739,0.253,-7.169,3DjERrrfsWxT9g6cn4wmrQ
252,0.224,0.0672,99.475,0.892,-21.412,07FojekwGX0TksoWwxJAiq
253,0.491,0.484,136.946,0.159,-9.184,4jtSLAIbesYuRJwvlUrvLZ
254,0.674,0.486,78.571,0.0413,-9.037,7cv91ZIiD6LCsiy7Iuqfod
255,0.959,0.806,150.777,0.58,-10.175,6qrBfVFOKrTeXSBr1g8u3R
256,0.682,0.266,107.749,0.957,-11.954,2qywNM0QRLV98AL5HUpFJG
257,0.854,0.428,121.188,0.00986,-10.353,4yjYWK2NhhOOIJL0HKTIei
258,0.608,0.213,146.106,0.818,-19.439,1HPgSLOcnY7kAMqLON6NZB
259,0.611,0.449,129.031,0.907,-10.066,167vjUqFTFeSamxeZytBKn
