"","Track","Category","Level","Album","id","Anger","Fear","Happy","Sad","Tender","Gender","Age","Musicianship","Emotion","Tension","Energy","Valence"
"144",44,"Tender","Moderate","Pride & Prejudice",3,1,1,4,6,7,"Male",24,1,"Discrete",NA,NA,NA
"145",45,"Tender","Moderate","Oliver Twist",3,1,1,6,1,7,"Male",24,1,"Discrete",NA,NA,NA
"146",46,"Tender","High","Batman",3,1,1,1,7,7,"Male",24,1,"Discrete",NA,NA,NA
"147",47,"Tender","High","Oliver Twist",3,1,1,5,5,8,"Male",24,1,"Discrete",NA,NA,NA
"148",48,"Tender","High","Dracula",3,1,6,1,6,6,"Male",24,1,"Discrete",NA,NA,NA
"149",49,"Tender","High","Juha",3,1,1,7,1,8,"Male",24,1,"Discrete",NA,NA,NA
"150",50,"Tender","High","Oliver Twist",3,1,4,1,7,6,"Male",24,1,"Discrete",NA,NA,NA
"151",1,"Anger","Moderate","Lethal weapon 3",4,8,2,3,1,1,"Male",27,1,"Discrete",NA,NA,NA
"152",2,"Anger","Moderate","The Rainmaker",4,1,8,1,1,1,"Male",27,1,"Discrete",NA,NA,NA
"153",3,"Anger","Moderate","The Alien Trilogy",4,8,4,3,1,1,"Male",27,1,"Discrete",NA,NA,NA
"154",4,"Anger","Moderate","Cape Fear",4,8,1,1,5,1,"Male",27,1,"Discrete",NA,NA,NA
"155",5,"Anger","Moderate","The Fifth Element",4,9,3,1,1,1,"Male",27,1,"Discrete",NA,NA,NA
"156",6,"Anger","High","Crouching Tiger ",4,5,2,6,1,1,"Male",27,1,"Discrete",NA,NA,NA
"157",7,"Anger","High","Batman Returns",4,3,7,1,2,1,"Male",27,1,"Discrete",NA,NA,NA
"158",8,"Anger","High","Man of Galilee CD1",4,8,1,1,5,1,"Male",27,1,"Discrete",NA,NA,NA
"159",9,"Anger","High","The Untouchables",4,4,8,1,1,1,"Male",27,1,"Discrete",NA,NA,NA
"160",10,"Anger","High","Oliver Twist",4,3,8,2,1,1,"Male",27,1,"Discrete",NA,NA,NA
"161",11,"Fear","Moderate","Batman Returns",4,3,8,1,1,1,"Male",27,1,"Discrete",NA,NA,NA
"162",12,"Fear","Moderate","JFK",4,2,6,1,2,1,"Male",27,1,"Discrete",NA,NA,NA
"163",13,"Fear","Moderate","JFK",4,1,8,1,1,1,"Male",27,1,"Discrete",NA,NA,NA
"164",14,"Fear","Moderate","The Alien Trilogy",4,2,7,1,4,1,"Male",27,1,"Discrete",NA,NA,NA
"165",15,"Fear","Moderate","Hannibal",4,1,9,1,3,1,"Male",27,1,"Discrete",NA,NA,NA
"166",16,"Fear","High","Running Scared",4,1,6,1,4,1,"Male",27,1,"Discrete",NA,NA,NA
"167",17,"Fear","High","The Untouchables",4,1,7,1,3,1,"Male",27,1,"Discrete",NA,NA,NA
"168",18,"Fear","High","The Fifth Element",4,7,7,1,1,1,"Male",27,1,"Discrete",NA,NA,NA
"169",19,"Fear","High","Lethal weapon 3",4,1,1,1,1,1,"Male",27,1,"Discrete",NA,NA,NA
"170",20,"Fear","High","Man of Galilee CD1",4,6,9,1,1,1,"Male",27,1,"Discrete",NA,NA,NA
"171",21,"Happy","Moderate","The Rainmaker",4,1,1,8,1,2,"Male",27,1,"Discrete",NA,NA,NA
"172",22,"Happy","Moderate","Batman",4,1,2,8,1,1,"Male",27,1,"Discrete",NA,NA,NA
"173",23,"Happy","Moderate","Shallow Grave",4,1,1,9,1,1,"Male",27,1,"Discrete",NA,NA,NA
"174",24,"Happy","Moderate","Man of Galilee CD1",4,3,1,7,1,1,"Male",27,1,"Discrete",NA,NA,NA
"175",25,"Happy","Moderate","Oliver Twist",4,1,1,7,2,1,"Male",27,1,"Discrete",NA,NA,NA
"176",26,"Happy","High","The Omen",4,1,1,7,2,3,"Male",27,1,"Discrete",NA,NA,NA
"177",27,"Happy","High","Oliver Twist",4,1,1,8,1,1,"Male",27,1,"Discrete",NA,NA,NA
"178",28,"Happy","High","Grizzly Man",4,1,1,5,1,8,"Male",27,1,"Discrete",NA,NA,NA
"179",29,"Happy","High","The Portait of a Lady",4,1,1,2,6,5,"Male",27,1,"Discrete",NA,NA,NA
"180",30,"Happy","High","Nostradamus",4,1,1,1,8,5,"Male",27,1,"Discrete",NA,NA,NA
"181",31,"Sad","Moderate","The English Patient",4,1,1,2,3,7,"Male",27,1,"Discrete",NA,NA,NA
"182",32,"Sad","Moderate","Running Scared",4,1,1,1,7,3,"Male",27,1,"Discrete",NA,NA,NA
"183",33,"Sad","Moderate","The Portait of a Lady",4,1,1,1,8,4,"Male",27,1,"Discrete",NA,NA,NA
"184",34,"Sad","Moderate","Big Fish",4,2,1,1,7,2,"Male",27,1,"Discrete",NA,NA,NA
"185",35,"Sad","Moderate","Man of Galilee CD1",4,1,1,8,1,2,"Male",27,1,"Discrete",NA,NA,NA
"186",36,"Sad","High","Angel Heart",4,1,3,1,9,2,"Male",27,1,"Discrete",NA,NA,NA
"187",37,"Sad","High","Batman",4,1,2,1,7,1,"Male",27,1,"Discrete",NA,NA,NA
"188",38,"Sad","High","Dracula",4,1,1,1,7,4,"Male",27,1,"Discrete",NA,NA,NA
"189",39,"Sad","High","Shakespeare In Love",4,1,1,6,2,3,"Male",27,1,"Discrete",NA,NA,NA
"190",40,"Sad","High","The English Patient",4,1,1,7,2,2,"Male",27,1,"Discrete",NA,NA,NA
"191",41,"Tender","Moderate","Shine",4,1,1,6,1,8,"Male",27,1,"Discrete",NA,NA,NA
"192",42,"Tender","Moderate","Pride & Prejudice",4,1,1,5,1,7,"Male",27,1,"Discrete",NA,NA,NA
"193",43,"Tender","Moderate","Dances with Wolves",4,1,1,6,2,7,"Male",27,1,"Discrete",NA,NA,NA
"194",44,"Tender","Moderate","Pride & Prejudice",4,1,1,4,1,8,"Male",27,1,"Discrete",NA,NA,NA
"195",45,"Tender","Moderate","Oliver Twist",4,1,1,5,2,7,"Male",27,1,"Discrete",NA,NA,NA
"196",46,"Tender","High","Batman",4,1,1,1,8,5,"Male",27,1,"Discrete",NA,NA,NA
"197",47,"Tender","High","Oliver Twist",4,1,1,8,1,4,"Male",27,1,"Discrete",NA,NA,NA
"198",48,"Tender","High","Dracula",4,1,2,1,7,2,"Male",27,1,"Discrete",NA,NA,NA
"199",49,"Tender","High","Juha",4,1,1,8,1,4,"Male",27,1,"Discrete",NA,NA,NA
"200",50,"Tender","High","Oliver Twist",4,1,1,1,7,3,"Male",27,1,"Discrete",NA,NA,NA
"201",1,"Anger","Moderate","Lethal weapon 3",5,7,1,1,3,1,"Male",24,2,"Discrete",NA,NA,NA
"202",2,"Anger","Moderate","The Rainmaker",5,8,1,1,1,1,"Male",24,2,"Discrete",NA,NA,NA
"203",3,"Anger","Moderate","The Alien Trilogy",5,7,1,4,1,1,"Male",24,2,"Discrete",NA,NA,NA
"204",4,"Anger","Moderate","Cape Fear",5,3,1,1,7,1,"Male",24,2,"Discrete",NA,NA,NA
"205",5,"Anger","Moderate","The Fifth Element",5,7,1,1,6,1,"Male",24,2,"Discrete",NA,NA,NA
"206",6,"Anger","High","Crouching Tiger ",5,4,1,3,1,1,"Male",24,2,"Discrete",NA,NA,NA
"207",7,"Anger","High","Batman Returns",5,3,4,3,2,1,"Male",24,2,"Discrete",NA,NA,NA
"208",8,"Anger","High","Man of Galilee CD1",5,5,1,1,4,2,"Male",24,2,"Discrete",NA,NA,NA
"209",9,"Anger","High","The Untouchables",5,1,4,4,1,1,"Male",24,2,"Discrete",NA,NA,NA
"210",10,"Anger","High","Oliver Twist",5,2,6,1,3,1,"Male",24,2,"Discrete",NA,NA,NA
"211",11,"Fear","Moderate","Batman Returns",5,4,7,3,1,1,"Male",24,2,"Discrete",NA,NA,NA
"212",12,"Fear","Moderate","JFK",5,1,3,3,1,4,"Male",24,2,"Discrete",NA,NA,NA
"213",13,"Fear","Moderate","JFK",5,5,1,3,1,1,"Male",24,2,"Discrete",NA,NA,NA
"214",14,"Fear","Moderate","The Alien Trilogy",5,3,4,2,1,1,"Male",24,2,"Discrete",NA,NA,NA
"215",15,"Fear","Moderate","Hannibal",5,1,7,1,1,1,"Male",24,2,"Discrete",NA,NA,NA
"216",16,"Fear","High","Running Scared",5,1,1,1,4,1,"Male",24,2,"Discrete",NA,NA,NA
"217",17,"Fear","High","The Untouchables",5,1,5,1,2,3,"Male",24,2,"Discrete",NA,NA,NA
"218",18,"Fear","High","The Fifth Element",5,5,1,1,3,1,"Male",24,2,"Discrete",NA,NA,NA
"219",19,"Fear","High","Lethal weapon 3",5,1,3,2,1,3,"Male",24,2,"Discrete",NA,NA,NA
"220",20,"Fear","High","Man of Galilee CD1",5,5,6,1,1,1,"Male",24,2,"Discrete",NA,NA,NA
"221",21,"Happy","Moderate","The Rainmaker",5,1,1,4,1,1,"Male",24,2,"Discrete",NA,NA,NA
"222",22,"Happy","Moderate","Batman",5,4,1,7,2,1,"Male",24,2,"Discrete",NA,NA,NA
"223",23,"Happy","Moderate","Shallow Grave",5,1,1,7,1,2,"Male",24,2,"Discrete",NA,NA,NA
"224",24,"Happy","Moderate","Man of Galilee CD1",5,1,1,8,1,4,"Male",24,2,"Discrete",NA,NA,NA
"225",25,"Happy","Moderate","Oliver Twist",5,3,1,5,1,1,"Male",24,2,"Discrete",NA,NA,NA
"226",26,"Happy","High","The Omen",5,1,1,4,3,4,"Male",24,2,"Discrete",NA,NA,NA
"227",27,"Happy","High","Oliver Twist",5,1,1,7,1,3,"Male",24,2,"Discrete",NA,NA,NA
"228",28,"Happy","High","Grizzly Man",5,1,1,1,3,5,"Male",24,2,"Discrete",NA,NA,NA
"229",29,"Happy","High","The Portait of a Lady",5,1,1,1,6,5,"Male",24,2,"Discrete",NA,NA,NA
"230",30,"Happy","High","Nostradamus",5,1,1,2,3,5,"Male",24,2,"Discrete",NA,NA,NA
"231",31,"Sad","Moderate","The English Patient",5,1,3,1,7,5,"Male",24,2,"Discrete",NA,NA,NA
"232",32,"Sad","Moderate","Running Scared",5,1,1,1,3,6,"Male",24,2,"Discrete",NA,NA,NA
"233",33,"Sad","Moderate","The Portait of a Lady",5,1,4,1,3,6,"Male",24,2,"Discrete",NA,NA,NA
"234",34,"Sad","Moderate","Big Fish",5,1,4,1,6,3,"Male",24,2,"Discrete",NA,NA,NA
"235",35,"Sad","Moderate","Man of Galilee CD1",5,1,2,2,5,4,"Male",24,2,"Discrete",NA,NA,NA
"236",36,"Sad","High","Angel Heart",5,1,3,1,6,4,"Male",24,2,"Discrete",NA,NA,NA
"237",37,"Sad","High","Batman",5,1,3,2,1,5,"Male",24,2,"Discrete",NA,NA,NA
"238",38,"Sad","High","Dracula",5,1,4,1,2,1,"Male",24,2,"Discrete",NA,NA,NA
"239",39,"Sad","High","Shakespeare In Love",5,1,1,1,7,4,"Male",24,2,"Discrete",NA,NA,NA
"240",40,"Sad","High","The English Patient",5,1,2,1,6,4,"Male",24,2,"Discrete",NA,NA,NA
"241",41,"Tender","Moderate","Shine",5,1,1,1,4,8,"Male",24,2,"Discrete",NA,NA,NA
"242",42,"Tender","Moderate","Pride & Prejudice",5,1,2,2,5,4,"Male",24,2,"Discrete",NA,NA,NA
"243",43,"Tender","Moderate","Dances with Wolves",5,1,1,4,1,7,"Male",24,2,"Discrete",NA,NA,NA
"244",44,"Tender","Moderate","Pride & Prejudice",5,1,2,1,1,5,"Male",24,2,"Discrete",NA,NA,NA
